text,text_clean,auto_label
"очень маленький размер, для девушки с  размером  S ростом 164 см. сидит не свободно, выше колена на 20 см.","очень маленький размер, для девушки с  размером  s ростом 164 см. сидит не свободно, выше колена на 20 см.",товары для детей
На груди большая зацепка-вырвана нитка горизонтально почти по всей длинне. Ткань именно серый цвет очень сильно синтетическая. Брала такую же другого цвета-все понравилось. Серую-не рекомендую. ,на груди большая зацепка-вырвана нитка горизонтально почти по всей длинне. ткань именно серый цвет очень сильно синтетическая. брала такую же другого цвета-все понравилось. серую-не рекомендую.,одежда
"Свитерок отличный ,качество супер ! На свой 46 взяла L ,но можно было и М взять ! Продрала рекомендую ! ","свитерок отличный ,качество супер ! на свой 46 взяла l ,но можно было и м взять ! продрала рекомендую !",одежда
"Трусы хорошие, нигде не жмут и не давят. Заказывали L на размер 42. Нет торчащих ниток и запаха. Цвета соответствуют картинке, после стирки не полиняли. В упаковке 5 штук.","трусы хорошие, нигде не жмут и не давят. заказывали l на размер 42. нет торчащих ниток и запаха. цвета соответствуют картинке, после стирки не полиняли. в упаковке 5 штук.",одежда
Ну такое. В целом неплохо. На троечку за такие деньги,ну такое. в целом неплохо. на троечку за такие деньги,нет товара
"по качеству, фасону хорошее. Цвет мне понравился тоже. Единственное с размером не угадала, брала М на 42... большой, но с портупеей отлично","по качеству, фасону хорошее. цвет мне понравился тоже. единственное с размером не угадала, брала м на 42... большой, но с портупеей отлично",одежда
Очень узко. Еле впихнула свой 44 рр в L ((,очень узко. еле впихнула свой 44 рр в l ((,обувь
"Заказала размер S продавец видимо спутал и отправил размер XL ....
Рубашка в жёлтых пятнах !!!
Очень плохо!!!!",заказала размер s продавец видимо спутал и отправил размер xl ....рубашка в жёлтых пятнах !!!очень плохо!!!!,одежда
"Цвет темно серый, а не светлый, как на картинке. А хотелось именно светло-серое. По покрою вопросов нет","цвет темно серый, а не светлый, как на картинке. а хотелось именно светло-серое. по покрою вопросов нет",текстиль
"Футболка очень неприятная к телу, торчат нитки и нашивка ужасно выглядит!","футболка очень неприятная к телу, торчат нитки и нашивка ужасно выглядит!",одежда
"Не плохая пижама, за исключением одного большого НО - нижняя часть (штаны) совершенно одинаковы что зад что перед! Посадка такая хороша только для абсолютно плоскозадых!","не плохая пижама, за исключением одного большого но - нижняя часть (штаны) совершенно одинаковы что зад что перед! посадка такая хороша только для абсолютно плоскозадых!",одежда
"Пошито не аккуратно,не то что ожидала.Вот доставка удивила,прям к двери,за это большой плюс.","пошито не аккуратно,не то что ожидала.вот доставка удивила,прям к двери,за это большой плюс.",обувь
"Товар отправили быстро, пришел тоже быстро. Качество хорошее, но нам пришла кофта на размер меньше от заказанного,поэтому только три звезды","товар отправили быстро, пришел тоже быстро. качество хорошее, но нам пришла кофта на размер меньше от заказанного,поэтому только три звезды",одежда
"Это уже третья футболка , две предидущие были отличного качества , а эта блестящая синтетика ","это уже третья футболка , две предидущие были отличного качества , а эта блестящая синтетика",одежда
"заказ шел очень долго даже открыла спор тк защита истекала спор закрыли не в мою пользу, но спустя неделю платье доставили на дом","заказ шел очень долго даже открыла спор тк защита истекала спор закрыли не в мою пользу, но спустя неделю платье доставили на дом",одежда
Все супер!!! быстро подошла по размеру М,все супер!!! быстро подошла по размеру м,одежда
"Размерная сетка не соответствует. Заказала размер ххl маме, а по итогу в пору мне. На 44 нормально. ","размерная сетка не соответствует. заказала размер ххl маме, а по итогу в пору мне. на 44 нормально.",одежда
"Товар не пришёл,продавец до последнего доказывало,что отправил свитер и просил закрыть спор!Присылал неверный трек-номер!","товар не пришёл,продавец до последнего доказывало,что отправил свитер и просил закрыть спор!присылал неверный трек-номер!",одежда
"Намного короче,чем на фото","намного короче,чем на фото",нет товара
"Слишком долгая доставка, пахнут резиной","слишком долгая доставка, пахнут резиной",нет товара
Маленькие. Когда одеваешь рисунка почти нет. Белая подошва.,маленькие. когда одеваешь рисунка почти нет. белая подошва.,одежда
"Заказ ждала 3 месяца, так и не пришел. Номер не отслеживается.","заказ ждала 3 месяца, так и не пришел. номер не отслеживается.",нет товара
"Заказ получила через 45 дней очень долгая доставка, но юбка понравилась все как на фото. Продавца рекомендую.","заказ получила через 45 дней очень долгая доставка, но юбка понравилась все как на фото. продавца рекомендую.",одежда
очень долго шла.пришла непойми куда.еле нашли.не соответствие размеров.огромные рукова у футболок.футболка пришла с браком стерта краска,очень долго шла.пришла непойми куда.еле нашли.не соответствие размеров.огромные рукова у футболок.футболка пришла с браком стерта краска,одежда
"Товар не пришёл ! Открыла спор с продавцом, а он его  просто закрыл :( очень расстроилась ! Не советую продавца и магазин ! ","товар не пришёл ! открыла спор с продавцом, а он его  просто закрыл :( очень расстроилась ! не советую продавца и магазин !",нет товара
товар не пришёл из за,товар не пришёл из за,нет товара
"товар отправлен не на тот адрес ! продавец без ответственный! Ошибок не признаёт,спор закрыт только после подключения Ali","товар отправлен не на тот адрес ! продавец без ответственный! ошибок не признаёт,спор закрыт только после подключения ali",нет товара
"Синтетика, в центре груди проходит шов-не ровный, швы у гипюра кривые, швы в майке норм.","синтетика, в центре груди проходит шов-не ровный, швы у гипюра кривые, швы в майке норм.",текстиль
Пришли три свитера разного размера ,пришли три свитера разного размера,одежда
блузка класс)все швы ровные цвет такой же как на картинки.буду заказывать ещё в другом цвете.Продавцу спасибо за быстрое отправление заказа.,блузка класс)все швы ровные цвет такой же как на картинки.буду заказывать ещё в другом цвете.продавцу спасибо за быстрое отправление заказа.,одежда
"Не совпала с лекалами, плечи слегка морщат","не совпала с лекалами, плечи слегка морщат",одежда
НИ ТОВАРА НЕ ДЕНЕГ!!! УЖАС!,ни товара не денег!!! ужас!,нет товара
рубашка не соответствует размерной сетке.5хl максимум на 48 размер.очень жаль!а так рубашка не плохая.,рубашка не соответствует размерной сетке.5хl максимум на 48 размер.очень жаль!а так рубашка не плохая.,одежда
"Заказ пришёл с браком на рукаве(( очень расстроилась. Но в остальном-нормально выглядит,швы ровные,запаха нет. Открыла спор,деньги вернули","заказ пришёл с браком на рукаве(( очень расстроилась. но в остальном-нормально выглядит,швы ровные,запаха нет. открыла спор,деньги вернули",одежда
"Пижама хорошая ,но короткая,даже на рост 161.","пижама хорошая ,но короткая,даже на рост 161.",одежда
"Жилет оказался большим. Да это бы не беда, но вот проймы очень сильно вырезаны, некрасиво и неудобно","жилет оказался большим. да это бы не беда, но вот проймы очень сильно вырезаны, некрасиво и неудобно",одежда
"заказывали серые брюки, а пришли черные.  Указанный размер L, по факту примерки соответствует размеру S. Единственный плюс брюк, они сшиты качественно, нигде не торчат нитки.","заказывали серые брюки, а пришли черные.  указанный размер l, по факту примерки соответствует размеру s. единственный плюс брюк, они сшиты качественно, нигде не торчат нитки.",одежда
"хорошая куртка. запах присутствуют, но не критично. на зиму будет холодновато, а вот на весну, осень самый раз.","хорошая куртка. запах присутствуют, но не критично. на зиму будет холодновато, а вот на весну, осень самый раз.",одежда
"куртка очень тонкая,двойные некрасивые швы,рукава очень широкие,хотя остальное как раз","куртка очень тонкая,двойные некрасивые швы,рукава очень широкие,хотя остальное как раз",одежда
"Не подошёл размер , деньги не вернули ","не подошёл размер , деньги не вернули",обувь
"Размер не соответствует,качество неплохое,доставка быстрая","размер не соответствует,качество неплохое,доставка быстрая",обувь
"до Мск пришло за 25 дней. качество... синтетика. сама блузка бежевая, а кружево белое. проймы большие. горло топорщится. В общем другого за такие деньги не стоит ждать..","до мск пришло за 25 дней. качество... синтетика. сама блузка бежевая, а кружево белое. проймы большие. горло топорщится. в общем другого за такие деньги не стоит ждать..",одежда
"Товар шол 22 дня, оформлялся 3 дня. Трек отслеживался. Качество отличное, мягкая, запаха нет, размер соответствует. Позже дополню отзыв, после стирки.","товар шол 22 дня, оформлялся 3 дня. трек отслеживался. качество отличное, мягкая, запаха нет, размер соответствует. позже дополню отзыв, после стирки.",одежда
"прочитав отзывы решила заказать, но размер не подошел, у меня 46, маленькая, а так пришла очень быстро.","прочитав отзывы решила заказать, но размер не подошел, у меня 46, маленькая, а так пришла очень быстро.",обувь
товар не пришел и денег нет (((((((((((   стрееееееем  продавцу     фуууууууууу,товар не пришел и денег нет (((((((((((   стрееееееем  продавцу     фуууууууууу,нет товара
Как описано. Качественный пошив. На 52-54 подошёл 4xl.,как описано. качественный пошив. на 52-54 подошёл 4xl.,обувь
"Большой, и на вид как купальник!","большой, и на вид как купальник!",одежда
"не такие яркие , как на фото","не такие яркие , как на фото",нет товара
Размер не соответствует. Пошив на узкие плечи. Пришло маленького размера.,размер не соответствует. пошив на узкие плечи. пришло маленького размера.,одежда
"качество соответствует цене, запаха нет, швы обработаны нормально, нитки не торчат, брак отсутствует,на свой s (42) заказывала m (44/46) всё равно не сходится","качество соответствует цене, запаха нет, швы обработаны нормально, нитки не торчат, брак отсутствует,на свой s (42) заказывала m (44/46) всё равно не сходится",обувь
на колготках была дырка,на колготках была дырка,обувь
"очень приятные носки, толстенькие, хорошо тянутся, на мой 39-40 русский подошли отлично) только красный не такой яркий, как на фото, в реальности.","очень приятные носки, толстенькие, хорошо тянутся, на мой 39-40 русский подошли отлично) только красный не такой яркий, как на фото, в реальности.",обувь
непонравилось что плохо лежит по телу.выворачиваеться,непонравилось что плохо лежит по телу.выворачиваеться,одежда
"Всё, как в описании,  шапочка вязаная,  внутри утепленная","всё, как в описании,  шапочка вязаная,  внутри утепленная",одежда
Получила классные джинсы. качество порадовало. Ткань котон стреч.  Заказала темно синие 30 р. подошли замечательно. У меня рост 162см. обхват бедер 102см.,получила классные джинсы. качество порадовало. ткань котон стреч.  заказала темно синие 30 р. подошли замечательно. у меня рост 162см. обхват бедер 102см.,одежда
"не получила, деньги вернули","не получила, деньги вернули",нет товара
Не качественная ткань,не качественная ткань,текстиль
"Продавец отправил посылку не на тот адрес и отказывается возвращать деньги , повторяя по сто раз , что я смогу получить посылку . У которой , кстати , уже истек срок Хранения . Ужас в общем .","продавец отправил посылку не на тот адрес и отказывается возвращать деньги , повторяя по сто раз , что я смогу получить посылку . у которой , кстати , уже истек срок хранения . ужас в общем .",нет товара
"Кофточка очень хорошая. Ткань к телу приятная, рукав регулируется. Доставка супер быстрая. Огромное спасибо. Рекомендую","кофточка очень хорошая. ткань к телу приятная, рукав регулируется. доставка супер быстрая. огромное спасибо. рекомендую",одежда
Так и не пришёл ,так и не пришёл,нет товара
"Очень тонкая синтетическая ткань. Хлопок если и есть, то мало. Много ниток, плохопрошитые швы, лампас подогнут в одном месте. В общем для дома пойдет, но не для гостей )) S на ОБ 88 нормально","очень тонкая синтетическая ткань. хлопок если и есть, то мало. много ниток, плохопрошитые швы, лампас подогнут в одном месте. в общем для дома пойдет, но не для гостей )) s на об 88 нормально",одежда
Подходит на рос.50/52 рост 175 длина до щиколотки. Немного маловата пройма.,подходит на рос.50/52 рост 175 длина до щиколотки. немного маловата пройма.,одежда
"Не совсем соответствует фото, маломерит ","не совсем соответствует фото, маломерит",нет товара
футболка маломерит! заказала xl  а на самом дели размер S. прям впритык.  хотя я нашу размер М. взяла чтобы была свободная.,футболка маломерит! заказала xl  а на самом дели размер s. прям впритык.  хотя я нашу размер м. взяла чтобы была свободная.,одежда
"Шорты супер, мягкие, приятные телу, по размеру","шорты супер, мягкие, приятные телу, по размеру",одежда
Super synthetic ,super synthetic,нет товара
"Очень грубая пряжа,даже после стирки ,на рост 150-160,короткий и свитер и юбка,смотрится несуразно ! Жаль потраченных денег.","очень грубая пряжа,даже после стирки ,на рост 150-160,короткий и свитер и юбка,смотрится несуразно ! жаль потраченных денег.",одежда
"Посылкой очень довольна.Шла месяц, что немного огорчает.На ощупь приятная, подошла по размеру.Берите на размер больше.Спасибо продавцу за подарочек.","посылкой очень довольна.шла месяц, что немного огорчает.на ощупь приятная, подошла по размеру.берите на размер больше.спасибо продавцу за подарочек.",одежда
"Очень короткая, торчат нитки","очень короткая, торчат нитки",нет товара
"спасибо, очень довольна. размер определила по отзывам .на русский 50 заказала xl .подошло. буду заказывать ещё в другом цвете.","спасибо, очень довольна. размер определила по отзывам .на русский 50 заказала xl .подошло. буду заказывать ещё в другом цвете.",одежда
"цвет отличается от того, что на картинке. не такой яркий. ткань тонкая, но вроде хорошая. пока непонятные впечатления, смотрится дёшево.","цвет отличается от того, что на картинке. не такой яркий. ткань тонкая, но вроде хорошая. пока непонятные впечатления, смотрится дёшево.",одежда
"Заказывала два месяца назад . Срок истёк , продавец продлил . Снова истёк срок. Открыла спор . Продавец не хотел возвращать деньги . Через две недели спора , деньги все таки вернули . Не советую","заказывала два месяца назад . срок истёк , продавец продлил . снова истёк срок. открыла спор . продавец не хотел возвращать деньги . через две недели спора , деньги все таки вернули . не советую",нет товара
размер на меня не подошел маленький был,размер на меня не подошел маленький был,одежда
товар не пришел. затерялся где-то в пути продавец втечении двух дней вернул деньги. Продавец отзывчивый.,товар не пришел. затерялся где-то в пути продавец втечении двух дней вернул деньги. продавец отзывчивый.,нет товара
"Товар не пришёл. Открыла спор- продавец попросил отклонить и ещё подождать , убрать спор и не портить ему статистику. Отклонила спор , в итоге ни возврата денег , ни платья","товар не пришёл. открыла спор- продавец попросил отклонить и ещё подождать , убрать спор и не портить ему статистику. отклонила спор , в итоге ни возврата денег , ни платья",нет товара
"Свитер короткий ,на фото он намного длиннее ","свитер короткий ,на фото он намного длиннее",одежда
"Заказываю вторую такую и всем советую.  Тёплая,  удобная,  хорошо стирается. Доставка две недели до Мурманска.","заказываю вторую такую и всем советую.  тёплая,  удобная,  хорошо стирается. доставка две недели до мурманска.",одежда
"Маленькое, не понравилось ","маленькое, не понравилось",одежда
"XL отлично подошел на 46 рос ( ОТ 89, рост 164)","xl отлично подошел на 46 рос ( от 89, рост 164)",одежда
"xxl на 52 подошло, смотрится симпатично","xxl на 52 подошло, смотрится симпатично",обувь
Товар не пришел. Деньги не вернули,товар не пришел. деньги не вернули,нет товара
"Деньги вернули, заказ не пришёл ","деньги вернули, заказ не пришёл",нет товара
"совсем не похожа на то что на картинке. это не объемный свитер, а скорее тонкий джемпер, он скорее длинный, чем вот такой пушистый. Ткань приятная, к ней притензий нет, но смотрится страшно.","совсем не похожа на то что на картинке. это не объемный свитер, а скорее тонкий джемпер, он скорее длинный, чем вот такой пушистый. ткань приятная, к ней притензий нет, но смотрится страшно.",одежда
"куртка очень красивая пошита качествено  , доставуа быстрая","куртка очень красивая пошита качествено  , доставуа быстрая",одежда
"Платье очень маленькое. рукава короткие. Талия под грудь.  заказывала свой размер. Оно не вязаное,  а как будто из синтетической шерсти.","платье очень маленькое. рукава короткие. талия под грудь.  заказывала свой размер. оно не вязаное,  а как будто из синтетической шерсти.",одежда
"Куртка хорошая и мне очень жаль, что выслали не тот размер, что заказывала я... Пришлось подарить её родственнице, а себе теперь буду заказывать у другого  ( внимательного) продавца.","куртка хорошая и мне очень жаль, что выслали не тот размер, что заказывала я... пришлось подарить её родственнице, а себе теперь буду заказывать у другого  ( внимательного) продавца.",одежда
"заказа так и нет, деньги не вернули!","заказа так и нет, деньги не вернули!",нет товара
Соответствует описанию! Доставка 20 дней до Свердловской области.,соответствует описанию! доставка 20 дней до свердловской области.,нет товара
"платье по размеру хорошо тянется, но ткань холодная синтетика и конечно зацепки на нем неизбежны. смотрится хорошо но к телу не приятно","платье по размеру хорошо тянется, но ткань холодная синтетика и конечно зацепки на нем неизбежны. смотрится хорошо но к телу не приятно",одежда
"Отличное качество, мама довольна ","отличное качество, мама довольна",нет товара
Ну за такую цену возможно и ничего так.. Но больше заказывать не буду и не советую. Я столько ниток внутри в жизни не видела! И швы ужасные. 250 руб красная цена,ну за такую цену возможно и ничего так.. но больше заказывать не буду и не советую. я столько ниток внутри в жизни не видела! и швы ужасные. 250 руб красная цена,текстиль
"качество супер! жаль размер не подошёл, велико.  печалька.","качество супер! жаль размер не подошёл, велико.  печалька.",одежда
"Футболка сделана из самого дерьмового хлопка к которому все липнет. При долгой носке скорее всего скатается. Сама по себе длинная, рукава почти до локтя. За такую цену довольна, но ткань оставляет желать лучшего :(","футболка сделана из самого дерьмового хлопка к которому все липнет. при долгой носке скорее всего скатается. сама по себе длинная, рукава почти до локтя. за такую цену довольна, но ткань оставляет желать лучшего :(",одежда
"три месяца ожидания,ужасное качество даже лук в них хранить нельзя,худший заказ на этом сайте","три месяца ожидания,ужасное качество даже лук в них хранить нельзя,худший заказ на этом сайте",нет товара
Качество не очень. Выглядет дёшево. Не на выход. ,качество не очень. выглядет дёшево. не на выход.,обувь
"надпись китайская,для русских сллжно.  качество фигня. но в подарок положили резинку","надпись китайская,для русских сллжно.  качество фигня. но в подарок положили резинку",нет товара
пришла кофта. на размер 83-73-93 рост 175 размер Л идеально. немного коротковато. Мне кофта понравилась. заказом довольна.,пришла кофта. на размер 83-73-93 рост 175 размер л идеально. немного коротковато. мне кофта понравилась. заказом довольна.,одежда
"очень широкие рукава, размер М на мой С велик в рукавах, но маловат в груди(86). и самое главное, не было шнурка.... как без шнурка не носить представить мне крайне сложно, так что огромный -","очень широкие рукава, размер м на мой с велик в рукавах, но маловат в груди(86). и самое главное, не было шнурка.... как без шнурка не носить представить мне крайне сложно, так что огромный -",одежда
"Товар не пришёл, деньги вернули. Ждали очень долго ","товар не пришёл, деньги вернули. ждали очень долго",нет товара
"Заказывала юбку 6 мая, так и не пришла, срок зашиты истёк.","заказывала юбку 6 мая, так и не пришла, срок зашиты истёк.",одежда
"Мало , заказывала XXXL на 48 - 50 размер, а получила L на 44 размер.","мало , заказывала xxxl на 48 - 50 размер, а получила l на 44 размер.",обувь
"В общем нормальная, но рукава почему то коротковаты","в общем нормальная, но рукава почему то коротковаты",одежда
"тонкая ткань,  но за такую цену это ожидаемо.  оказалась большая, поэтому буду подшивать.  До Хаб.  края пришла быстро.  Берите свой русский размер) Спасибо продавцу))","тонкая ткань,  но за такую цену это ожидаемо.  оказалась большая, поэтому буду подшивать.  до хаб.  края пришла быстро.  берите свой русский размер) спасибо продавцу))",одежда
"Доставка быстрая, халат неплохой но очень воняет,надо проветривать долго","доставка быстрая, халат неплохой но очень воняет,надо проветривать долго",нет товара
Товар так и не пришёл !!!!! Не стоит верить таким продавцам,товар так и не пришёл !!!!! не стоит верить таким продавцам,нет товара
размер не совпал(меньше),размер не совпал(меньше),обувь
"Я хотела платье как на первом фото и писала об этом продавцу , но пришло совсем другое. и все в затяжках  и с маленькой дыркой  . Я НАПИСАЛА ОБ ЭТОМ ПРОДАВЦУ НО В ОТВЕТ ТИШИНА.","я хотела платье как на первом фото и писала об этом продавцу , но пришло совсем другое. и все в затяжках  и с маленькой дыркой  . я написала об этом продавцу но в ответ тишина.",одежда
"Пальто смотрится хорошо, но есть претензии к пошиву...Вылезают нитки, что нарушает ромбовидную отстрочку рисунка....получаются пробелы. На боковых швах накулемлено и присборено.","пальто смотрится хорошо, но есть претензии к пошиву...вылезают нитки, что нарушает ромбовидную отстрочку рисунка....получаются пробелы. на боковых швах накулемлено и присборено.",одежда
"Качество швов низкое, везде торчат нитки ","качество швов низкое, везде торчат нитки",обувь
"Товар не пришёл вообще,начала спор,пришёл ответ,на непонятном языке!!!и всё ","товар не пришёл вообще,начала спор,пришёл ответ,на непонятном языке!!!и всё",нет товара
"Товар не получила,деньги не вернули!!! Не советую этого продавца!!!! ((((((((","товар не получила,деньги не вернули!!! не советую этого продавца!!!! ((((((((",нет товара
"Качество ужасное, майка прозрачная, после первой стирки весь ажур ""поплыл""","качество ужасное, майка прозрачная, после первой стирки весь ажур поплыл",одежда
Я думала маломерка опять будет !! Но оказался комбинезон таким большим!!!,я думала маломерка опять будет !! но оказался комбинезон таким большим!!!,обувь
"Пришли быстро, но когда достала их, обнаружила, что есть затяжки, очень расстроило, несмотря на то, что ткань плотная. Летом в них будет жарковато. Открыла спор, попросила половину денег за товар, деньги вернули ","пришли быстро, но когда достала их, обнаружила, что есть затяжки, очень расстроило, несмотря на то, что ткань плотная. летом в них будет жарковато. открыла спор, попросила половину денег за товар, деньги вернули",нет товара
"Относительно размера советовалась с продавцом, он посоветовал размер L, заказала, в итоге висит на мне, как на вешалке. Недовольна таким советчиком.Юбка не такая яркая как на представленном продавцом фото, менее плотная. ","относительно размера советовалась с продавцом, он посоветовал размер l, заказала, в итоге висит на мне, как на вешалке. недовольна таким советчиком.юбка не такая яркая как на представленном продавцом фото, менее плотная.",одежда
"неприятная к телу синтетика, и такое чувство, что до меня ее носили. не тратьте деньги, не стоит она этого.","неприятная к телу синтетика, и такое чувство, что до меня ее носили. не тратьте деньги, не стоит она этого.",нет товара
"В целом понравился！  сел на 48 размер идеально. Единственний минус - при первой же стирке линял сильно, так что советую стирать отдельно вручную.","в целом понравился！  сел на 48 размер идеально. единственний минус - при первой же стирке линял сильно, так что советую стирать отдельно вручную.",одежда
"Жуткая синтетика, ткань даже скрепит. Но зато очень яркая","жуткая синтетика, ткань даже скрепит. но зато очень яркая",текстиль
Рукава рваные(((,рукава рваные(((,одежда
Хорошая! Плотная. Качество огонь. Рекомендую. Доставка быстрая.,хорошая! плотная. качество огонь. рекомендую. доставка быстрая.,нет товара
"Отличный пиджак, пришел быстро, отслеживался,  сшит хорошо, нитки не торчат, запаха нет. Единственное размер не угадала,  на свой М заказала L в притык, но не страшно, носить буду с удовольствием.  Спасибо!","отличный пиджак, пришел быстро, отслеживался,  сшит хорошо, нитки не торчат, запаха нет. единственное размер не угадала,  на свой м заказала l в притык, но не страшно, носить буду с удовольствием.  спасибо!",одежда
"водолазка хорошая, теплая, для тела очень приятная, мягонькая!  очень долгая доставка!  заказывала 11.11. пришла 27.12! продавец общительный, отвечал на вопросы) спасибо!","водолазка хорошая, теплая, для тела очень приятная, мягонькая!  очень долгая доставка!  заказывала 11.11. пришла 27.12! продавец общительный, отвечал на вопросы) спасибо!",одежда
"Юбка не соответствует описанию. Покупала голубую, прислали грязно серо-синию.  Спереди на самом видном месте повреждение ткани, похоже на ожоги, ткань обуглена. Носить не буду.","юбка не соответствует описанию. покупала голубую, прислали грязно серо-синию.  спереди на самом видном месте повреждение ткани, похоже на ожоги, ткань обуглена. носить не буду.",одежда
Это такое Г. что нет слов.а трусики лучше бы вообще не ложили.ну какие деньги такой и товар.,это такое г. что нет слов.а трусики лучше бы вообще не ложили.ну какие деньги такой и товар.,обувь
